userName,content,score,at,appVersion
Vega Yunirda,gojek aku ko ga ada go tix nya ya,5,2025-04-07 02:59:02,5.14.2
Yulianti Yuli,ok deh,5,2025-04-07 02:54:53,
Meena Rugayah,murah dan nyaman,5,2025-04-07 02:50:08,5.15.1
septian galih,driver mobil pada mencancel tanpa keterangan,1,2025-04-07 02:42:56,5.14.2
delvira aisyah Nofriana melani,alhamdulillah semakin mudah untuk melakukan kegiatan ☺,5,2025-04-07 02:39:29,5.14.2
Theodorus Sucito (R-21325 Frederick Edbert),Sangat membantu,5,2025-04-07 02:21:17,5.14.2
Nathan Hendra,ok,5,2025-04-07 02:13:17,5.14.2
M.khoirul anam,"ongkir gak ngotak, pelit voucher pulak💩💩",1,2025-04-07 02:11:19,5.14.2
allan tutuka,ok,5,2025-04-07 02:03:43,4.90.2
sutrisno trisno,mantap,5,2025-04-07 02:00:23,5.9.1
kurnia,ok,5,2025-04-07 01:22:51,5.14.2
Nursiyah Ahmad,"selama saya menggunakan gojek, Alhamdulillah nggak pernah mengecewakan, semua bagus dan sesuai dengan tujuan saya 🙏",5,2025-04-07 01:20:45,5.15.1
Jonatan Bagus,top,5,2025-04-07 01:20:09,5.14.2
Saipul Ipul,semangat buat angkutan PP lebih cepat,5,2025-04-07 01:08:46,5.14.2
Ucok Maldini,bagus,5,2025-04-07 01:06:24,5.14.2
May Toraya,pokokny oke deh GK bisa di ucapkan,4,2025-04-07 01:03:27,5.15.1
fnk gaming super,yang buat aplikasi ga bener,1,2025-04-07 00:54:07,5.13.1
Nanang Saputro,tepat waktu & pelayanan yg baik terhadap konsumen,5,2025-04-07 00:51:43,5.14.2
Tri Widodo,"ramah driver ,mantab",5,2025-04-07 00:41:34,5.14.2
dani habibi,Bagus,5,2025-04-07 00:40:02,5.14.2
Dini Anjar Sari,kenapa tiba2 susah chat drivernya ya?,4,2025-04-07 00:31:44,5.14.2
ahmad fathonie,aplikasi taiiiiiiiikkk,1,2025-04-07 00:15:32,5.14.2
Krisno Sanipan,Bagus sekali,5,2025-04-07 00:06:54,5.14.2
TransTune,Their business model is to make customers dupilcate order without knowing and make them pay twice.,1,2025-04-07 00:00:28,5.14.2
Ahmad Gaming,Terimakasih,5,2025-04-06 23:55:32,5.14.2
Andro Meda,driver gak rewel klo rewel pecat aja,5,2025-04-06 23:52:55,5.15.1
Sadewo bagus swaztika,"2025 gocar di Pekalongan sama sekali ga ada. kalah sama grab, banyak bgt grab driver mobil nya. gocar ditunggu sampe ganti tahun yg ada malah si driver nya ngejauh setelah kecantol order kita.",1,2025-04-06 23:34:41,5.15.1
Limau manih23TM,bagus,5,2025-04-06 23:25:20,5.14.2
Lestari Tary,the best 👍🏻,5,2025-04-06 22:59:06,5.14.2
Hernando Dayoh (nando),recommended 👍,5,2025-04-06 22:58:14,5.15.1
Naldi Saputra,aplikasi nya GK jelas sekarang udah banyak pesaratan nya ongkir nya mahal lagi payah udah GK kayak dulu murah seimpel dan GK ribet kaya sekarang kecewa berat,1,2025-04-06 22:54:06,5.14.2
Komarudin betayy,mempermudah perjalanan kemanapun,5,2025-04-06 22:39:45,5.14.2
Bayu Prakoso,Pesen grab car susah amat Emng di Cirebon kaga nyediain mobil apa,5,2025-04-06 22:33:17,4.10.3
erna Susilawati,luar biasa membantu sekali perjalanan kami,5,2025-04-06 22:22:28,
Wayan Nasrul Huda,"untuk transaksi belanja makanan tidak maksimal, lbh bagus grab",1,2025-04-06 22:12:58,
BODHIN CHNL,ok,5,2025-04-06 21:57:20,5.14.2
Abdul bari PVC,ok,5,2025-04-06 21:55:47,
Putra Aritonang,sangat membantu,5,2025-04-06 21:27:30,5.14.2
